"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Japan","2021","Total","Both Sexes","Total","Estimate - de jure","Final figure, complete","2022","125682000","1,2,3"
"Japan","2021","Total","Both Sexes","0","Estimate - de jure","Final figure, complete","2022","830000","1,2,3"
"Japan","2021","Total","Both Sexes","0 - 4","Estimate - de jure","Final figure, complete","2022","4421000","1,2,3"
"Japan","2021","Total","Both Sexes","1","Estimate - de jure","Final figure, complete","2022","836000","1,2,3"
"Japan","2021","Total","Both Sexes","2","Estimate - de jure","Final figure, complete","2022","871000","1,2,3"
"Japan","2021","Total","Both Sexes","3","Estimate - de jure","Final figure, complete","2022","915000","1,2,3"
"Japan","2021","Total","Both Sexes","4","Estimate - de jure","Final figure, complete","2022","938000","1,2,3"
"Japan","2021","Total","Both Sexes","5","Estimate - de jure","Final figure, complete","2022","978000","1,2,3"
"Japan","2021","Total","Both Sexes","5 - 9","Estimate - de jure","Final figure, complete","2022","5063000","1,2,3"
"Japan","2021","Total","Both Sexes","6","Estimate - de jure","Final figure, complete","2022","1003000","1,2,3"
"Japan","2021","Total","Both Sexes","7","Estimate - de jure","Final figure, complete","2022","1001000","1,2,3"
"Japan","2021","Total","Both Sexes","8","Estimate - de jure","Final figure, complete","2022","1026000","1,2,3"
"Japan","2021","Total","Both Sexes","9","Estimate - de jure","Final figure, complete","2022","1029000","1,2,3"
"Japan","2021","Total","Both Sexes","10","Estimate - de jure","Final figure, complete","2022","1054000","1,2,3"
"Japan","2021","Total","Both Sexes","10 - 14","Estimate - de jure","Final figure, complete","2022","5365000","1,2,3"
"Japan","2021","Total","Both Sexes","11","Estimate - de jure","Final figure, complete","2022","1063000","1,2,3"
"Japan","2021","Total","Both Sexes","12","Estimate - de jure","Final figure, complete","2022","1069000","1,2,3"
"Japan","2021","Total","Both Sexes","13","Estimate - de jure","Final figure, complete","2022","1089000","1,2,3"
"Japan","2021","Total","Both Sexes","14","Estimate - de jure","Final figure, complete","2022","1083000","1,2,3"
"Japan","2021","Total","Both Sexes","15","Estimate - de jure","Final figure, complete","2022","1075000","1,2,3"
"Japan","2021","Total","Both Sexes","15 - 19","Estimate - de jure","Final figure, complete","2022","5635000","1,2,3"
"Japan","2021","Total","Both Sexes","16","Estimate - de jure","Final figure, complete","2022","1076000","1,2,3"
"Japan","2021","Total","Both Sexes","17","Estimate - de jure","Final figure, complete","2022","1119000","1,2,3"
"Japan","2021","Total","Both Sexes","18","Estimate - de jure","Final figure, complete","2022","1131000","1,2,3"
"Japan","2021","Total","Both Sexes","19","Estimate - de jure","Final figure, complete","2022","1178000","1,2,3"
"Japan","2021","Total","Both Sexes","20","Estimate - de jure","Final figure, complete","2022","1221000","1,2,3"
"Japan","2021","Total","Both Sexes","20 - 24","Estimate - de jure","Final figure, complete","2022","6294000","1,2,3"
"Japan","2021","Total","Both Sexes","21","Estimate - de jure","Final figure, complete","2022","1245000","1,2,3"
"Japan","2021","Total","Both Sexes","22","Estimate - de jure","Final figure, complete","2022","1247000","1,2,3"
"Japan","2021","Total","Both Sexes","23","Estimate - de jure","Final figure, complete","2022","1274000","1,2,3"
"Japan","2021","Total","Both Sexes","24","Estimate - de jure","Final figure, complete","2022","1277000","1,2,3"
"Japan","2021","Total","Both Sexes","25","Estimate - de jure","Final figure, complete","2022","1278000","1,2,3"
"Japan","2021","Total","Both Sexes","25 - 29","Estimate - de jure","Final figure, complete","2022","6381000","1,2,3"
"Japan","2021","Total","Both Sexes","26","Estimate - de jure","Final figure, complete","2022","1293000","1,2,3"
"Japan","2021","Total","Both Sexes","27","Estimate - de jure","Final figure, complete","2022","1286000","1,2,3"
"Japan","2021","Total","Both Sexes","28","Estimate - de jure","Final figure, complete","2022","1256000","1,2,3"
"Japan","2021","Total","Both Sexes","29","Estimate - de jure","Final figure, complete","2022","1266000","1,2,3"
"Japan","2021","Total","Both Sexes","30","Estimate - de jure","Final figure, complete","2022","1257000","1,2,3"
"Japan","2021","Total","Both Sexes","30 - 34","Estimate - de jure","Final figure, complete","2022","6595000","1,2,3"
"Japan","2021","Total","Both Sexes","31","Estimate - de jure","Final figure, complete","2022","1281000","1,2,3"
"Japan","2021","Total","Both Sexes","32","Estimate - de jure","Final figure, complete","2022","1302000","1,2,3"
"Japan","2021","Total","Both Sexes","33","Estimate - de jure","Final figure, complete","2022","1341000","1,2,3"
"Japan","2021","Total","Both Sexes","34","Estimate - de jure","Final figure, complete","2022","1375000","1,2,3"
"Japan","2021","Total","Both Sexes","35","Estimate - de jure","Final figure, complete","2022","1393000","1,2,3"
"Japan","2021","Total","Both Sexes","35 - 39","Estimate - de jure","Final figure, complete","2022","7398000","1,2,3"
"Japan","2021","Total","Both Sexes","36","Estimate - de jure","Final figure, complete","2022","1444000","1,2,3"
"Japan","2021","Total","Both Sexes","37","Estimate - de jure","Final figure, complete","2022","1492000","1,2,3"
"Japan","2021","Total","Both Sexes","38","Estimate - de jure","Final figure, complete","2022","1511000","1,2,3"
"Japan","2021","Total","Both Sexes","39","Estimate - de jure","Final figure, complete","2022","1513000","1,2,3"
"Japan","2021","Total","Both Sexes","40","Estimate - de jure","Final figure, complete","2022","1524000","1,2,3"
"Japan","2021","Total","Both Sexes","40 - 44","Estimate - de jure","Final figure, complete","2022","8244000","1,2,3"
"Japan","2021","Total","Both Sexes","41","Estimate - de jure","Final figure, complete","2022","1592000","1,2,3"
"Japan","2021","Total","Both Sexes","42","Estimate - de jure","Final figure, complete","2022","1630000","1,2,3"
"Japan","2021","Total","Both Sexes","43","Estimate - de jure","Final figure, complete","2022","1691000","1,2,3"
"Japan","2021","Total","Both Sexes","44","Estimate - de jure","Final figure, complete","2022","1735000","1,2,3"
"Japan","2021","Total","Both Sexes","45","Estimate - de jure","Final figure, complete","2022","1816000","1,2,3"
"Japan","2021","Total","Both Sexes","45 - 49","Estimate - de jure","Final figure, complete","2022","9778000","1,2,3"
"Japan","2021","Total","Both Sexes","46","Estimate - de jure","Final figure, complete","2022","1891000","1,2,3"
"Japan","2021","Total","Both Sexes","47","Estimate - de jure","Final figure, complete","2022","1997000","1,2,3"
"Japan","2021","Total","Both Sexes","48","Estimate - de jure","Final figure, complete","2022","2032000","1,2,3"
"Japan","2021","Total","Both Sexes","49","Estimate - de jure","Final figure, complete","2022","1995000","1,2,3"
"Japan","2021","Total","Both Sexes","50","Estimate - de jure","Final figure, complete","2022","1936000","1,2,3"
"Japan","2021","Total","Both Sexes","50 - 54","Estimate - de jure","Final figure, complete","2022","9077000","1,2,3"
"Japan","2021","Total","Both Sexes","51","Estimate - de jure","Final figure, complete","2022","1876000","1,2,3"
"Japan","2021","Total","Both Sexes","52","Estimate - de jure","Final figure, complete","2022","1846000","1,2,3"
"Japan","2021","Total","Both Sexes","53","Estimate - de jure","Final figure, complete","2022","1800000","1,2,3"
"Japan","2021","Total","Both Sexes","54","Estimate - de jure","Final figure, complete","2022","1794000","1,2,3"
"Japan","2021","Total","Both Sexes","55","Estimate - de jure","Final figure, complete","2022","1400000","1,2,3"
"Japan","2021","Total","Both Sexes","55 - 59","Estimate - de jure","Final figure, complete","2022","7864000","1,2,3"
"Japan","2021","Total","Both Sexes","56","Estimate - de jure","Final figure, complete","2022","1723000","1,2,3"
"Japan","2021","Total","Both Sexes","57","Estimate - de jure","Final figure, complete","2022","1613000","1,2,3"
"Japan","2021","Total","Both Sexes","58","Estimate - de jure","Final figure, complete","2022","1571000","1,2,3"
"Japan","2021","Total","Both Sexes","59","Estimate - de jure","Final figure, complete","2022","1518000","1,2,3"
"Japan","2021","Total","Both Sexes","60","Estimate - de jure","Final figure, complete","2022","1486000","1,2,3"
"Japan","2021","Total","Both Sexes","60 - 64","Estimate - de jure","Final figure, complete","2022","7393000","1,2,3"
"Japan","2021","Total","Both Sexes","61","Estimate - de jure","Final figure, complete","2022","1492000","1,2,3"
"Japan","2021","Total","Both Sexes","62","Estimate - de jure","Final figure, complete","2022","1516000","1,2,3"
"Japan","2021","Total","Both Sexes","63","Estimate - de jure","Final figure, complete","2022","1471000","1,2,3"
"Japan","2021","Total","Both Sexes","64","Estimate - de jure","Final figure, complete","2022","1426000","1,2,3"
